country_name,comments,likes,dislikes,views
Brazil,10517.950753940324,121177.86938810331,2210.934096871201,1553740.283340798
Canada,15027.960132464481,146143.47672257238,3282.6553359683794,2494640.268731973
France,7956.089588584611,80878.0945657282,1570.1031101807152,1076321.1530311445
Germany,9832.231159001989,86969.62566010305,2284.8546383597372,1364353.8751416416
India,14874.32975390483,133201.39938249183,8175.39475118053,2680422.6178487106
Japan,7414.571834476276,55787.095131278176,1346.978636586981,1113999.4268196288
Mexico,14060.104297896045,149722.65233320478,3062.205360586194,2022843.7645584266
Russia,5975.693852109442,52789.01270695274,1660.0482033112437,660864.7376375129
S Korea,10399.728406360828,76750.18499027571,1513.1093925180185,1458074.6736071387
UK,11991.863958502327,114905.8504034496,2530.6001366178543,1931117.0083038039
USA,15953.4793851795,150904.6143088599,3499.6615929052614,2699350.3829197576
