country_name,channel_title,videos,views
India,Colors TV,617,864707.8881685575
India,Vijay Television,517,2272416.3442940037
Russia,Анатолий Шарий,449,387936.5768374165
Russia,Россия 24,445,297559.2404494382
Russia,Телеканал Дождь,413,596987.3704600484
Russia,Матч ТВ,378,353640.9682539682
India,Asianet,355,785285.4647887324
Russia,Эхо Москвы,345,112246.44057971015
UK,Sky Sports Football,322,587583.7546583851
Russia,НТВ,308,403851.01948051946
Mexico,Cracks,288,755752.5659722222
India,Tarang TV,263,354305.1216730038
Russia,Ozodivideo,254,132908.2874015748
Germany,JP Performance,243,497827.6995884774
India,Flowers Comedy,231,1038817.2337662338
Russia,Трум Трум,227,926915.0572687224
Russia,Вести FM,218,40906.05963302752
Russia,Соловьёв LIVE,215,331229.88837209303
Germany,Berlin - Tag & Nacht,214,508206.68224299065
Russia,Россия 1,209,488430.23444976076
Germany,tagesschau,197,246444.3197969543
India,SAB TV,195,871607.7076923077
India,ZEE5,190,1554465.1210526316
France,beIN SPORTS France,190,311835.9052631579
Russia,kamikadzedead,189,308463.71957671957
Russia,Wylsacom,189,707192.4761904762
UK,The United Stand,186,313512.53225806454
Russia,Калнина Наталья,183,89405.43169398907
Germany,Goal Deutschland,181,425816.11602209945
India,Technical Guruji,177,813111.9265536723
Germany,Анатолий Шарий,175,403797.9542857143
Japan,東海オンエア,174,1992569.0919540229
India,etvteluguindia,173,519760.65317919076
India,Study IQ education,173,64185.01734104046
India,VikatanTV,170,765205.2705882353
France,HugoDécrypte,169,262392.4082840237
Russia,Навальный LIVE,168,618234.9821428572
Russia,Модные Практики с Паукште Ириной Михайловной,164,19886.48780487805
Brazil,A Fazenda,162,697041.1975308642
USA,NBA,162,1488696.0679012346
Germany,Köln 50667,161,268623.49689440994
Germany,Promiflash,161,106784.3105590062
Germany,Ruhrpottwache,161,85927.24844720497
France,VikatanTV,161,531593.9565217391
Mexico,Badabun,160,458707.96875
Russia,PanArmenian TV,160,111951.1
Canada,VikatanTV,159,633358.2075471698
India,Crazy XYZ,158,2340203.5
India,SET India,157,1344825.4203821656
S Korea,도봉박홍기,156,31916.71153846154
Russia,Трум Трум СЕЛЕКТ,156,504720.1538461539
S Korea,신의한수,155,123090.74193548386
Canada,MSNBC,154,251618.25974025973
Russia,Вечерний Ургант,154,411961.75974025973
Canada,NHL,154,119136.94805194806
Germany,Galileo,154,192161.92857142858
Canada,SET India,154,159223.8116883117
India,Star Maa,153,2241481.679738562
Mexico,Las Estrellas,153,142033.09150326796
India,Saregama TVShows,152,151765.17763157896
UK,BT Sport,152,728927.427631579
India,Sony PAL,151,680332.5099337748
Canada,RadaanMedia,149,365943.9865771812
France,Troom Troom FR,149,264706.95302013424
Mexico,Cracks MX,148,200418.7837837838
Russia,Гараж 54,148,335127.3378378378
Germany,Auf Streife,148,79462.3581081081
Germany,Sky Sport HD,148,451388.2162162162
India,Mazhavil Manorama,148,365604.49324324325
Russia,Акыркы Кабарлар - Санжар Калматай,147,76616.27210884354
France,France Inter,147,97852.9387755102
Canada,The Young Turks,147,151540.02040816325
France,Elhiwar Ettounsi,146,120217.81506849315
Russia,След - новый сезон,146,34324.44520547945
Brazil,ge,144,737234.4861111111
India,mallemalatv,144,1835103.1597222222
France,RadaanMedia,142,342446.9718309859
Canada,ESPN,141,672683.4680851063
Russia,Ольга Матвей,141,66264.69503546099
India,T-Series,141,13465268.886524823
Germany,Krass Schule - Die jungen Lehrer,141,269917.42553191487
USA,NFL,140,1904492.6285714286
Mexico,El Salvador 4K,140,51348.85
Russia,Вечер с Владимиром Соловьевым,140,437556.85
Russia,Saveliy Ad,140,61114.77857142857
Mexico,Televisa Telenovelas,140,93111.37857142858
France,Touche pas à mon poste !,139,129385.77697841727
Mexico,Troom Troom Es,139,603757.0071942447
France,THIRU TV,138,178029.57971014493
India,RadaanMedia,137,412009.93430656934
India,zeemarathi,136,137272.9044117647
Canada,ARY Digital,135,382456.5925925926
Brazil,De Placa,135,123140.97777777778
Russia,Первый канал,135,241128.92592592593
India,zeetvtelugu,134,174692.60447761195
Russia,Радио Свобода,134,161830.33582089553
Russia,NTK TV,134,207161.64179104476
Russia,Xəzər Media,133,71762.24812030075
Russia,Yoll,133,37405.436090225565
India,ETV Plus India,130,441810.5230769231
Germany,DAZN Bundesliga,129,539406.1627906977
Germany,VikatanTV,129,551562.2868217054
Russia,МУЗЫКА,129,169903.33333333334
India,ETV Jabardasth,129,1755712.2945736435
India,Sony SAB,128,2106751.2265625
USA,ESPN,127,803832.4330708662
India,ETV Andhra Pradesh,127,105650.12598425196
Canada,CNN,126,534973.4206349206
