country_name,category_title,comments,likes,dislikes,views,engagement_rate
Brazil,Autos & Vehicles,4.99,94.06,0.95,132113673.0,11.77
Brazil,Comedy,3.42,95.02,1.56,2051215934.0,10.54
Brazil,Education,4.81,93.59,1.6,179107937.0,10.08
Brazil,Entertainment,5.52,93.15,1.33,12115872736.0,10.77
Brazil,Film & Animation,6.31,91.93,1.76,817725910.0,5.69
Brazil,Gaming,5.04,93.32,1.64,6349535037.0,7.01
Brazil,Howto & Style,4.99,93.46,1.55,136936711.0,9.19
Brazil,Music,10.21,88.06,1.73,39422261109.0,8.51
Brazil,News & Politics,11.17,83.57,5.26,480117595.0,4.49
Brazil,People & Blogs,4.45,93.94,1.61,4413789231.0,11.09
Brazil,Pets & Animals,2.98,94.22,2.8,16896823.0,6.07
Brazil,Science & Technology,4.53,93.21,2.26,1850215258.0,4.92
Brazil,Sports,5.78,92.29,1.93,4858837661.0,5.32
Brazil,Travel & Events,4.42,94.14,1.44,25595050.0,12.35
Canada,Autos & Vehicles,9.47,88.65,1.87,1201247322.0,4.19
Canada,Comedy,6.99,91.3,1.72,8392563188.0,7.43
Canada,Education,8.58,89.34,2.09,1891836567.0,6.28
Canada,Entertainment,8.21,89.33,2.46,36642454169.0,5.6
Canada,Film & Animation,9.18,88.63,2.19,6007758216.0,4.57
Canada,Gaming,8.92,89.15,1.93,15630730397.0,6.0
Canada,Howto & Style,9.04,87.83,3.14,4527349260.0,4.62
Canada,Movies,5.01,90.59,4.4,17120490.0,1.63
Canada,Music,10.97,86.83,2.2,50962610979.0,7.45
Canada,News & Politics,19.68,72.52,7.8,4230555712.0,2.37
Canada,People & Blogs,7.47,88.97,3.55,13206043976.0,5.85
Canada,Pets & Animals,11.25,87.31,1.43,555950065.0,4.92
Canada,Science & Technology,8.16,89.24,2.6,7044282722.0,3.99
Canada,Shows,9.82,74.88,15.3,71549508.0,1.1
Canada,Sports,9.13,87.44,3.43,12851865504.0,2.56
Canada,Travel & Events,10.88,86.94,2.19,304093149.0,4.24
France,Autos & Vehicles,5.95,92.88,1.17,316050616.0,8.26
France,Comedy,4.49,93.95,1.56,5049766262.0,9.37
France,Education,6.25,92.23,1.51,431855750.0,7.99
France,Entertainment,6.21,91.69,2.1,12092247119.0,8.01
France,Film & Animation,8.22,89.22,2.56,1470961066.0,4.19
France,Gaming,7.72,89.7,2.58,3480681350.0,5.75
France,Howto & Style,5.83,92.01,2.17,907664949.0,6.29
France,Movies,5.47,90.62,3.91,1028214.0,2.61
France,Music,10.83,87.17,2.0,32142697407.0,8.66
France,News & Politics,13.04,81.78,5.18,1070537299.0,3.19
France,People & Blogs,6.91,90.45,2.64,2616313158.0,6.06
France,Pets & Animals,8.7,89.42,1.87,65217498.0,4.86
France,Science & Technology,7.27,90.22,2.51,2421971538.0,3.51
France,Shows,10.2,66.19,23.6,51823901.0,0.85
France,Sports,8.45,88.17,3.38,5266380910.0,2.84
France,Trailers,0.0,95.52,4.48,12940.0,1.55
France,Travel & Events,7.57,91.4,1.03,43095789.0,9.79
Germany,Autos & Vehicles,8.01,90.02,1.98,1081102235.0,4.65
Germany,Comedy,7.71,90.19,2.1,3007329087.0,6.46
Germany,Education,7.94,90.48,1.58,789209673.0,7.25
Germany,Entertainment,8.38,88.24,3.38,20150753204.0,5.91
Germany,Film & Animation,9.16,88.48,2.37,2831144173.0,4.24
Germany,Gaming,8.67,89.01,2.32,6357548818.0,6.37
Germany,Howto & Style,7.63,88.58,3.79,1779838244.0,5.03
Germany,Movies,4.66,91.61,3.72,3071004.0,2.27
Germany,Music,11.7,85.9,2.4,30811614933.0,8.78
Germany,News & Politics,19.47,69.42,11.11,2348813102.0,2.51
Germany,People & Blogs,8.03,88.4,3.58,7564809894.0,5.83
Germany,Pets & Animals,11.41,86.85,1.73,176336134.0,4.46
Germany,Science & Technology,8.57,88.54,2.89,3840995530.0,3.83
Germany,Shows,12.37,69.51,18.13,50844117.0,1.07
Germany,Sports,7.99,88.95,3.07,7426670660.0,2.76
Germany,Travel & Events,6.74,90.19,3.07,80787267.0,4.71
India,Autos & Vehicles,7.43,88.73,3.84,142358204.0,3.83
India,Comedy,6.08,91.42,2.5,9905795852.0,8.61
India,Education,9.55,86.41,4.04,1010055502.0,5.56
India,Entertainment,7.69,82.8,9.51,48682490602.0,4.16
India,Film & Animation,6.92,81.55,11.53,5778306858.0,2.93
India,Gaming,6.29,91.04,2.67,2098210620.0,7.61
India,Howto & Style,6.48,87.44,6.08,2593989120.0,3.79
India,Movies,5.05,90.13,4.82,31919530.0,1.42
India,Music,12.0,84.51,3.48,57776857690.0,5.99
India,News & Politics,10.63,71.78,17.59,3071090219.0,2.15
India,People & Blogs,8.24,88.2,3.57,6042823240.0,5.87
India,Pets & Animals,10.23,88.19,1.58,4879743.0,8.42
India,Science & Technology,8.31,87.97,3.72,7028413861.0,5.52
India,Shows,9.88,69.35,20.78,99079954.0,0.8
India,Sports,5.38,91.77,2.85,6581689846.0,3.18
India,Travel & Events,12.12,85.15,2.73,180798528.0,9.58
Japan,Autos & Vehicles,5.56,92.74,1.7,481157460.0,3.91
Japan,Comedy,7.01,91.27,1.72,2959800761.0,4.27
Japan,Education,10.31,86.59,3.1,230192235.0,2.22
Japan,Entertainment,9.23,87.51,3.26,14400275808.0,3.87
Japan,Film & Animation,7.79,90.53,1.68,2540120873.0,2.48
Japan,Gaming,8.89,88.82,2.29,2559213300.0,3.4
Japan,Howto & Style,8.66,85.03,6.31,1168744943.0,2.51
Japan,Music,13.07,85.26,1.67,22999288894.0,8.89
Japan,News & Politics,14.84,78.24,6.92,794488840.0,1.64
Japan,People & Blogs,7.71,89.37,2.93,3896316368.0,3.46
