country_name,words,count
Brazil,futebol,2442
Brazil,vlog,1904
Brazil,flamengo,1597
Brazil,humor,1536
Brazil,ao vivo,1485
Brazil,brasil,1417
Brazil,loud,1214
Brazil,sertanejo,1200
Brazil,free fire,1187
Brazil,funk,1075
Brazil,pop,1055
Brazil,são paulo,1049
Brazil,palmeiras,1003
Brazil,gol,976
Brazil,live,952
Brazil,lançamento,872
Brazil,gols,854
Brazil,rap,851
Brazil,engraçado,833
Brazil,melhores momentos,813
Brazil,brasileirão,801
Brazil,music,799
Brazil,corinthians,780
Brazil,globo esporte,773
Brazil,comédia,768
Brazil,esporte,766
Brazil,felipe neto,757
Brazil,esporte interativo,738
Brazil,globo,734
Brazil,lbff,728
Brazil,fla,691
Brazil,garena,690
Brazil,2020,672
Brazil,brazil,645
Brazil,tv,633
Brazil,sportv,632
Brazil,gospel,620
Brazil,familia,617
Brazil,forró,606
Brazil,musica,597
Brazil,rezende,597
Brazil,comedia,594
Brazil,irmãos neto,593
Brazil,now united,584
Brazil,reality show,584
Brazil,intz,580
Brazil,mengão,573
Brazil,campeonato brasileiro,566
Brazil,coringa,564
Brazil,música,562
Brazil,canal,560
Brazil,esportes,556
Brazil,record tv,554
Brazil,libertadores,554
Brazil,casa,550
Brazil,soccer,538
Brazil,league of legends,535
Brazil,mengo,528
Brazil,rezendeevil,525
Brazil,kpop,524
Brazil,codiguin,517
Brazil,anitta,517
Brazil,liga brasileira,514
Brazil,gravidez,512
Brazil,highlights,507
Brazil,entretenimento,505
Brazil,santos,504
Brazil,de placa,501
Brazil,globoesporte.com,500
Brazil,ge,500
Brazil,ge.globo,495
Brazil,2021,486
Brazil,desafio,484
Brazil,liga,483
Brazil,record,481
Brazil,universal,478
Brazil,lol,476
Brazil,de placa ao vivo,473
Brazil,neymar,472
Brazil,campeonato,467
Canada,funny,6548
Canada,comedy,4988
Canada,news,3321
Canada,music,2167
Canada,highlights,2058
Canada,nba,1903
Canada,video,1889
Canada,politics,1774
Canada,vlog,1758
Canada,rap,1749
Canada,entertainment,1701
Canada,review,1683
Canada,football,1678
Canada,donald trump,1638
Canada,reaction,1625
Canada,animation,1600
Canada,food,1590
Canada,how to,1509
Canada,diy,1481
Canada,challenge,1468
Canada,basketball,1445
Canada,family,1442
Canada,family friendly,1422
Canada,interview,1418
Canada,humor,1394
Canada,sports,1379
Canada,trailer,1373
Canada,hip hop,1326
Canada,trump,1318
Canada,new,1282
Canada,science,1211
Canada,minecraft,1163
Canada,talk show,1161
Canada,2018,1150
Canada,drama,1142
Canada,fun,1138
Canada,music video,1109
Canada,fortnite,1080
Canada,gaming,1072
Canada,game,1060
Canada,live,1052
Canada,television,1043
Canada,celebrity,1019
Canada,hollywood,1009
Canada,pop,1008
Canada,comedian,1001
Canada,react,995
Canada,funny videos,992
Canada,tv,961
Canada,2020,951
Canada,cooking,949
Canada,tutorial,933
Canada,buzzfeed,921
Canada,movie,906
Canada,ufc,903
Canada,celebrities,900
Canada,youtube,897
Canada,tiktok,869
Canada,canada,854
Canada,soccer,837
Canada,official,830
Canada,bts,822
Canada,among us,817
Canada,clip,790
Canada,podcast,786
Canada,best,786
Canada,2017,774
Canada,the,774
Canada,jokes,766
Canada,christmas,759
Canada,education,757
Canada,late night,755
Canada,humour,750
Canada,parody,748
Canada,breaking news,744
Canada,love,736
Canada,hilarious,728
Canada,highlight,727
Canada,makeup,725
Canada,games,720
France,humour,5311
France,football,4012
France,france,3304
France,rap,2674
France,foot,2029
France,paris,1772
France,musique,1683
France,interview,1529
France,2018,1495
France,vlog,1443
France,video,1372
France,résumé,1351
France,freestyle,1325
France,live,1310
France,français,1275
France,fun,1275
France,music,1260
France,psg,1259
France,fr,1249
France,highlights,1244
France,drole,1233
France,challenge,1220
France,sketch,1195
France,tv,1177
France,divertissement,1165
France,parodie,1158
France,film,1141
France,clip,1114
France,sport,1110
France,michou,1041
France,pop,975
France,drôle,969
France,prank,951
France,funny,934
France,marseille,929
France,booba,920
France,vidéo,911
France,tuto,905
France,histoire,875
France,test,843
France,diy,838
France,comedy,833
France,youtube,828
France,match,814
France,couple,810
France,neymar,808
France,amour,806
France,jul,789
France,ligue 1,775
France,but,770
France,messi,760
France,buts,744
France,soccer,741
France,news,735
France,reaction,727
France,hip hop,705
France,politique,686
France,série,686
France,rap français,685
France,rire,682
France,voiture,678
France,french,671
France,replay,669
France,fortnite,669
France,clash,662
France,ninho,661
France,science,656
France,top,655
France,maroc,647
France,critique,640
France,2020,637
France,cinéma,629
France,top 10,629
France,2017,620
France,ronaldo,619
France,sp:ty=high,616
France,tpmp,613
France,anime,612
France,défi,603
France,manga,603
Germany,comedy,3688
Germany,rap,3097
Germany,deutsch,2929
Germany,funny,2826
Germany,vlog,2579
Germany,tv,2575
Germany,lustig,2427
Germany,highlights,2242
Germany,deutschrap,2090
Germany,rtl2,2042
Germany,berlin,2032
Germany,rtl,2029
Germany,news,1902
Germany,german,1760
Germany,dazn,1666
Germany,ganze folge,1586
Germany,music,1579
Germany,diy,1556
Germany,hiphop,1540
