country_name,channel_title,videos,views
India,Colors TV,486,1038780.5226337449
India,Vijay Television,417,2699302.273381295
Russia,Телеканал Дождь,381,625308.4278215223
UK,Sky Sports Football,322,587583.7546583851
Russia,Матч ТВ,299,381517.71571906353
Russia,Россия 24,294,329661.2108843537
Russia,Анатолий Шарий,269,419064.8550185874
India,Asianet,262,1001147.3816793893
Russia,Соловьёв LIVE,215,331229.88837209303
Russia,НТВ,198,569265.6161616162
India,ZEE5,190,1554465.1210526316
UK,The United Stand,186,313512.53225806454
France,beIN SPORTS France,185,316810.04324324324
Russia,Ozodivideo,183,152139.043715847
Russia,Эхо Москвы,171,177581.59064327486
Brazil,A Fazenda,162,697041.1975308642
India,Crazy XYZ,158,2340203.5
Japan,東海オンエア,157,2041060.3184713377
Russia,Вести FM,152,53781.61842105263
UK,BT Sport,151,728650.6953642385
Germany,tagesschau,148,326117.9391891892
Brazil,ge,144,737234.4861111111
Germany,Krass Schule - Die jungen Lehrer,141,269917.42553191487
Brazil,De Placa,135,123140.97777777778
Russia,NTK TV,134,207161.64179104476
Russia,Россия 1,133,705335.1729323309
India,Star Maa,129,2585622.7596899224
Russia,МУЗЫКА,129,169903.33333333334
Germany,Berlin - Tag & Nacht,129,624432.0387596899
India,Sony SAB,128,2106751.2265625
France,HugoDécrypte,126,341594.0317460318
Germany,JP Performance,125,519767.624
Germany,Köln 50667,121,313747.62809917354
Mexico,Cracks,118,725237.4406779661
Russia,Legacy,114,580788.649122807
India,Flowers Comedy,114,1408530.5614035088
Germany,Sky Sport HD,113,386361.62831858406
Russia,Навальный LIVE,113,778833.9292035399
Russia,PRO Английский футбол,111,134402.99099099098
Russia,Трум Трум,109,572698.0366972478
Germany,Goal Deutschland,109,483636.2844036697
USA,NBA,107,2064424.4485981308
Brazil,Felipe Neto,106,1902658.8490566039
France,RMC Sport,106,283094.25471698114
India,Tarang TV,105,736752.3904761905
USA,NFL,104,2138986.0384615385
Canada,NBA,104,1822362.2403846155
S Korea,SPOTV,103,857350.0873786408
Russia,Настоящее Время,101,369188.603960396
India,Taarak Mehta Ka Ooltah Chashmah,100,4478893.35
India,MR. INDIAN HACKER,99,2737951.0606060605
Russia,A4,96,10156903.052083334
France,Ligue 1 Uber Eats,95,394424.4947368421
Russia,Сериал След. Пятый канал,90,144114.25555555554
India,Sun TV,88,1582702.7727272727
Germany,DAZN Bundesliga,87,676120.4367816092
UK,WWE,86,1915336.9767441861
Russia,Вечерний Ургант,82,554294.1829268293
Russia,Редакция,81,897746.5679012346
Russia,Lesha Maisak,80,1018882.325
Russia,Трум Трум СЕЛЕКТ,80,412714.3
India,T-Series,78,17927883.589743588
Mexico,Luisito Comunica,74,3596741.121621622
Russia,Виндяй,72,305423.7083333333
Mexico,TUDN México,72,956566.4583333334
Russia,Comedy Club,71,2456209.7464788733
France,CANAL+ Sport,69,182593.20289855072
Mexico,Andrés Manuel López Obrador,68,622670.8088235294
Russia,Wylsacom,67,765300.776119403
Russia,Гараж 54,67,388512.5223880597
Russia,UFC Russia,66,676802.0757575758
Russia,Максим Шевченко,66,206385.92424242425
India,Technical Guruji,65,1453904.0307692308
Russia,varlamov,65,665878.6307692308
India,SAB TV,64,1903695.359375
Germany,Varion,64,517287.296875
Russia,Mamix Live,64,1010189.921875
India,RJ Raunac No-Po,63,808561.7777777778
Russia,Первый канал,63,293536.873015873
Russia,Дюшес,62,737226.5483870967
India,Saregama TV Shows Tamil,61,1834013.5573770492
UK,Jay's Virtual Pub Quiz,60,61148.23333333333
India,SET India,60,2017063.05
Russia,шансон лучшее песни,60,40041.55
S Korea,짤툰,59,1511190.6779661018
Russia,Вечер с Владимиром Соловьевым,58,753928.224137931
Russia,Telesport,58,137367.5172413793
Mexico,Marca Claro,58,558787.4310344828
Russia,Радио Свобода,57,287508.84210526315
India,ARY Digital,56,2182427.2321428573
France,francetv slash,56,92494.08928571429
India,cricket.com.au,56,8217111.857142857
Russia,ШАРФ,56,151088.0892857143
Brazil,Free Fire - Brasil,55,2466773.690909091
Russia,OneTwo,55,878350.7636363637
Russia,Телеканал ПЯТНИЦА,54,1653351.5555555555
Russia,Телеканал ТНТ,54,1277452.5
Russia,Дневник Депутата,53,272297.7924528302
Russia,ABU-SADDAM SHISHANI [LIVE],53,51347.45283018868
Germany,DAZN Länderspiele,53,523839.71698113205
Brazil,FutParódias,52,1560539.9038461538
Russia,oblomoff,52,557259.25
France,Michou,52,2796104.480769231
Brazil,NFA CHANNEL,51,770691.3921568628
Russia,Russian Music Mix,51,91932.88235294117
