country_name,words,count
Brazil,futebol,2442
Brazil,vlog,1904
Brazil,flamengo,1597
Brazil,humor,1536
Brazil,ao vivo,1485
Brazil,brasil,1417
Brazil,loud,1214
Brazil,sertanejo,1200
Brazil,free fire,1187
Brazil,funk,1075
Brazil,pop,1055
Brazil,são paulo,1049
Brazil,palmeiras,1003
Brazil,gol,976
Brazil,live,952
Brazil,lançamento,872
Brazil,gols,854
Brazil,rap,851
Brazil,engraçado,833
Brazil,melhores momentos,813
Brazil,brasileirão,801
Brazil,music,799
Brazil,corinthians,780
Brazil,globo esporte,773
Brazil,comédia,768
Brazil,esporte,766
Brazil,felipe neto,757
Brazil,esporte interativo,738
Brazil,globo,734
Brazil,lbff,728
Brazil,fla,691
Brazil,garena,690
Brazil,2020,672
Brazil,brazil,645
Brazil,tv,633
Brazil,sportv,632
Brazil,gospel,620
Brazil,familia,617
Brazil,forró,606
Brazil,musica,597
Brazil,rezende,597
Brazil,comedia,594
Brazil,irmãos neto,593
Brazil,now united,584
Brazil,reality show,584
Brazil,intz,580
Brazil,mengão,573
Brazil,campeonato brasileiro,566
Brazil,coringa,564
Brazil,música,562
Brazil,canal,560
Brazil,esportes,556
Brazil,record tv,554
Brazil,libertadores,554
Brazil,casa,550
Brazil,soccer,538
Brazil,league of legends,535
Brazil,mengo,528
Brazil,rezendeevil,525
Brazil,kpop,524
Brazil,codiguin,517
Brazil,anitta,517
Brazil,liga brasileira,514
Brazil,gravidez,512
Brazil,highlights,507
Brazil,entretenimento,505
Brazil,santos,504
Brazil,de placa,501
Brazil,globoesporte.com,500
Brazil,ge,500
Brazil,ge.globo,495
Brazil,2021,486
Brazil,desafio,484
Brazil,liga,483
Brazil,record,481
Brazil,universal,478
Brazil,lol,476
Brazil,de placa ao vivo,473
Brazil,neymar,472
Brazil,campeonato,467
Brazil,piuzinho,459
Brazil,entrevista,458
Brazil,filme,456
Brazil,bbb21,448
Brazil,ltda.,446
Brazil,gato,445
Brazil,brasileirão 2020,445
Brazil,bbb,445
Brazil,nobru,442
Brazil,bts,441
Brazil,eua,439
Brazil,lances,436
Brazil,parodia,432
Brazil,pain,432
Brazil,tricolor,427
Brazil,podcast,425
Brazil,trap,420
Brazil,cerol,419
Brazil,musica gospel,418
Brazil,mc,418
Brazil,babi,412
Brazil,gusttavo lima,410
Brazil,kondzilla,409
Brazil,paródia,409
Brazil,voltan,404
Brazil,jornalismo,401
Brazil,brasileirao,400
Brazil,riot games,399
Brazil,piu,398
Brazil,k-pop,397
Brazil,victor,395
Brazil,casal,393
Brazil,vasco,390
Brazil,esports,388
Brazil,copa ff,387
Brazil,roça,386
Brazil,racha,383
Brazil,curiosidades,383
Brazil,torneio,379
Brazil,jogo,373
Brazil,maellen,371
Brazil,will,371
Brazil,cristiano ronaldo,370
Brazil,jordan,369
Brazil,spfc,369
Brazil,football,367
Brazil,covid-19,367
Brazil,como fazer,367
Brazil,grêmio,366
Brazil,ale,365
Brazil,renato garcia,364
Brazil,free fire ao vivo,364
Brazil,god,363
Brazil,los grandes,360
Brazil,bak,359
Brazil,marcos mion,359
Brazil,casa nova,358
Brazil,thurzin,358
Brazil,ygorx,357
Brazil,kof,357
Brazil,leon,356
Brazil,daily vlog,355
Brazil,b4,353
Brazil,lbff ao vivo,353
Brazil,sunaika bruna,352
Brazil,nacional,351
Brazil,flow,351
Brazil,lgd,350
Brazil,viagem,350
Brazil,el,350
Brazil,loudgg,348
Brazil,hudson,347
Brazil,mobile,347
Brazil,coreano,346
Brazil,liga nfa,346
Brazil,nfa,346
Brazil,ggeasy,346
Brazil,kronos,345
Brazil,pro player,342
Brazil,free fire brasil,342
Brazil,rodrigo carelli,341
Brazil,prova do fazendeiro,341
Brazil,prova de fogo,341
Brazil,game,341
Brazil,booyah,340
Brazil,crusherfooxi,340
Brazil,forsaken,340
Brazil,deuses,340
Brazil,since,340
Brazil,bradook,340
Brazil,anarchysons,340
Brazil,levelup,340
Brazil,faz o p,340
Brazil,buxexa,340
Brazil,sharin,340
Brazil,wins,340
Brazil,samuca,340
Brazil,bdl,340
Brazil,price,340
Brazil,god esports,340
Brazil,fsk,340
Brazil,dantes,340
Brazil,mm,340
Brazil,blak,340
Brazil,huntergod,340
Brazil,blakn444,340
Brazil,laude,340
Brazil,elton,340
Brazil,ss,340
Brazil,eltin,340
Brazil,show,339
Brazil,neto,338
Brazil,messi,337
Brazil,cartola fc 2020,337
Brazil,among us,336
Brazil,futparodias,335
Brazil,futparodia,335
Brazil,fut parodias,335
Brazil,futeparodia,335
Brazil,fut parodia,335
Brazil,paródia com jogadores,335
Brazil,piseiro,331
Brazil,flamengo ao vivo,324
Brazil,react,323
Brazil,vitória,323
Brazil,novo,322
Brazil,enem,322
Brazil,rede record,322
Brazil,ufc,321
Brazil,video,319
Brazil,unidos,318
Brazil,estados,318
Brazil,é gol,317
Brazil,dicas,317
Brazil,clipe oficial,315
Brazil,playhard,313
Brazil,oficial,313
Brazil,paola carosella,312
Brazil,erick jacquin,310
Brazil,internacional,309
Brazil,desafios,309
